name,start_time,end_time,published,location_name,location_zip,location_address1,location_address2,location_country
Campagne Européenne 2019,1544637600.0,1544644800.0,True,Espace Henri Dunant  Salle de réunion rdc,76400,3-5 rue Henri Dunant,76400,FR
Marche pour le climat- Village des alternatives,1544274000.0,1544288400.0,True,Place Garibaldi,06300,Place garibaldi,,FR
Soutien du mouvement des Gilets Jaunes,1543658400.0,1543665600.0,True,Place Garibaldi,06300,Place Garibaldi,,FR
Réunion du groupe fonctionnel metz agglo,1543860000.0,1543870800.0,True,shannon,57000,19 avenue robert schuman,,FR
Réunion collectif CHANTIER,1543446000.0,1543446000.0,True,Nantes,44000,rue Fouré,,FR
Réunion de préparation,1543512600.0,1543518000.0,True,Mc DO,57140,44 Avenue de Thionville,,FR
Tractage STµ jeudi 29 nov,1543491000.0,1543498200.0,True,Devant l'entrée ppale de STMicroelectronics,13790,"Zone Industrielle, 190 Avenue Coq",,FR
Co-voiturage pour La Réunion publique des élections européennes avec les candidats à Reims,1543503600.0,1543525200.0,True,Départ de chez moi,10800,boulevard de Dijon,,FR
COLLAGE,1543482000.0,1543487400.0,True,NANDY,77176,ALLEE DES MOUSSERONS,,FR
Distribution tract,1543473000.0,1543480200.0,True,CNES Toulouse,31400,18 avenue Edourd Belin,,FR
Réunion publique gestion de l'eau à Toulouse Métropole,1544038200.0,1544045400.0,True,"Salle audio, Marie Laurençin",31130,6 Route de Mons,31130,FR
SOUTIEN MANIF SYNDICATS CONTRE LA VIE CHERE/PRECARITE/CHOMAGE,1543669200.0,1543680000.0,True,FORCALQUIER,04300,Place du bourget,,FR
SOUTIEN MANIF SYNDICATS CONTRE LA VIE CHERE/PRECARITE/CHOMAGE - DEPART CONVOI OPERATION ESCARGOT VERS FORCALQUIER,1543665600.0,1543680000.0,True,PARKING COLLEGE CAMILLE REYMOND - CHATEAU ARNOUX,04160,LA BASTIDE NEUVE,,FR
SOUTIEN MANIF SYNDICATS CONTRE LA VIE CHERE/PRECARITE/CHOMAGE  - DEPART CONVOI OPERATION ESCARGOT  VERS FORCALQUIER,1543665600.0,1543680000.0,True,PARKING LYCEE LES ISCLES MANOSQUE,04100,116 Avenue Régis Ryckebusch,,FR
AG EXTRAORDINAIRE - préparation à la convention FI Bordeaux 2018,1543942800.0,1543953600.0,True,CHATEAU ARNOUX SALLE COMMUNALE,04160,2 CHEMIN DU LAC,,FR
Réunion mensuelle du Groupe d’Action,1544203800.0,1544209200.0,True,Yvetot endroit habituel,76190,Endroit,Habituel,FR
Inscription sur les listes électorales - Table mise à disposition des habitants,1544347800.0,1544356800.0,True,Marché de la Croix-Rousse,69001,Boulevard de la Croix-Rousse,,FR
Inscription sur les listes électorales - Venez échanger avec nous-Une table sera mise à disposition,1543656600.0,1543663800.0,True,Marché de la Croix-Rousse,69001,Boulevard de la Croix-Rousse,,FR
Départ collectif 19e pour conférence gesticulée de Danielle Simonnet (cirque romanes),1543599900.0,1543600800.0,True,"métro jaurès (ligne 2, sous métro aérien)",75019,1 avenue Secrétan,,FR
Diffusion de tracts (services après vote de Danielle Simonnet),1543475700.0,1543477200.0,True,écoles colette magny,75019,rue colette magny,,FR
Diffusion tracts élections européennes,1543514400.0,1543518000.0,True,Métro Pyrénées,75020,401 rue des Pyrénées,,FR
Diffusion de tracts (Service après Vote Danielle Simonnet),1543475700.0,1543477200.0,True,écoles rue Darius Milhaud,75019,Rue Darius Milhaud,,FR
Diffusion de tracts au marché,1543743000.0,1543748400.0,True,Marché Place des Fetes (coin en face de chez Papa),75019,1 place des Fêtes,,FR
Réunion Comité d'appui,1543946400.0,1543950900.0,True,Le Shannon,57000,19 Avenue Robert Shuman,,FR
Réunion de Groupe d'action,1543514400.0,1543523400.0,True,Gure etchea,64100,10 cours Comte de Cabarrus,,FR
Collage Secteur Hôpital,1545157800.0,1545163200.0,True,Métro campo Formio,75013,100 bd de l'hopital,75013,FR
"Hôpital en danger, santé publique dégradée. Quels constats, quelles solutions",1544032800.0,1544041800.0,True,Salle Résistance,93100,50 avenue de la Résistance,,FR
Départ Groupé - Manifestations parisiennes,1543653000.0,1543653900.0,True,Gare de Sartrouville,78500,Place des Fusillés,,FR
Préparation de la rencontre sur les quartiers populaires du 8 janvier,1545156000.0,1545159600.0,True,Chez Safia,93270,43 avenue Berlioz,,FR
Inscription sur les listes électorales pour le faire payer ( Groupe de soirée),1544630400.0,1544637600.0,True,RER Sevran- Beaudottes,93270,Gare RER,,FR
Inscription sur les listes électorales pour le faire payer ( groupe du matin),1544596200.0,1544601600.0,True,Gare RER Sevran-Beaudottes,93270,Gare RER,,FR
Distribution,1543532400.0,1544137200.0,True,Quartier université,21000,boulevard de l'université,,FR
collage lancement de campagne,1543431600.0,1543438800.0,True,Parking G 20,51100,boulevard des belges,51100,FR
Tractage à Saint Paul,1543654800.0,1543662000.0,True,Saint Paul,34000,Avenue du lauragais,,FR
Tractage aux Hauts de Massane,1545316200.0,1545320700.0,True,Hauts de Massane,34000,Rue Pierre Cardenal,,FR
Opération Rends l'ISF d'Abord !,1543514400.0,1543519800.0,True,STATION TOTAL (anciennement BP),95230,63 Av. de Paris,,FR
Distribution de tracts sur le marché de Fronton,1543482000.0,1543489200.0,True,Marché de Fronton,31620,place du 11 novembre,,FR
soutien aux gilets jaunes,1543359600.0,1543618800.0,True,Morlaix,29600,rond point du puit,,FR
soutien aux gilets,1543359600.0,1543618800.0,True,Morlaix,29600,rond point du puit,,FR
réunion du GA gare,1544547600.0,1544558400.0,True,chez Didier,34070,4 rue Isidore Girard,34070,FR
Réunion Groupe d'Action,1544547600.0,1544562000.0,True,Chez Didier,34070,4 rue Isidore Girard,,FR
distribution de tracts,1544346000.0,1544353200.0,True,marché paysans d'Antigone,34070,avenue J.Cartier,34070,FR
disribution de tracts,1543402800.0,1543410000.0,True,sortie basse échelles de la ville,34070,place Paul Bec,34070,FR
Marché paysan Antigone,1544346000.0,1544353200.0,True,Marché paysan,34000,Avenue Jacques Cartier,,FR
Rendez vous avec les nouveaux militants,1543599000.0,1543603500.0,True,Café Faïencerie,60100,Place de la Faïencerie,60100,FR
Marché nombre d'or,1544007600.0,1544007600.0,True,Marché  Nombre d'or,34000,Plsce nombre d'or,,FR
distribution de tracts,1544000400.0,1544007600.0,True,marché d'Antigone,34070,place Paul Bec,34070,FR
Grande matinée d'inscriptions sur les listes électorales à Aubervilliers,1543654800.0,1543662000.0,True,Trois points d'inscriptions,93300,rue Firmin Gémier ou Icade ou la Maladrerie,93300,FR
Marché Antigone,1543741200.0,1543748400.0,True,Marché  Paysan,34000,Avenue Jacques Cartier,,FR
distribution de tracts,1543741200.0,1543748400.0,True,marché paysan d'Antigone,34070,avenue J.Cartier,34070,FR
lutte pour le maintien de la maternité à Creil,1543669200.0,1543669200.0,True,rassemblement devant l'hôpital de CREIL,60100,Bd Laennec,60100,FR
Échelles de la cille,1543402800.0,1543410000.0,True,Echelles de la ville,34000,Place Paul Bec,,FR
Distribution des tractes,1543415400.0,1543420800.0,True,Rond point du Prado,13008,Rond point du Prado,,FR
distribution de tracts,1543654800.0,1543662000.0,True,place Jean Jaurès,34070,place Jean Jaurès,34070,FR
Porte à Porte,1543654800.0,1543662000.0,True,Tours Gémier,93300,4 rue Firmin Gémier,,FR
Jean Jaurès,1543654800.0,1543662000.0,True,Place Jean Jaurès,34000,Place Jean Jaurès,,FR
Dirtribution tracts,1543741200.0,1543748400.0,True,Puces La Garde,83130,avenue Sadi Carnot,,FR
Porte à porte et point fixe,1543654800.0,1543662000.0,False,Tours Gémier,93300,Rue Firmin Gémier,,FR
